Date,SalesRep,Sum of Budget
2020-01-01,Emily Stone,14000
2020-01-01,Jane Smith,14000
2020-01-01,John Doe,14000
2020-02-01,Emily Stone,14000
2020-02-01,Jane Smith,14000
2020-02-01,John Doe,14000
2020-03-01,Emily Stone,14000
2020-03-01,Jane Smith,14000
2020-03-01,John Doe,14000
2020-04-01,Emily Stone,14000
2020-04-01,Jane Smith,14000
2020-04-01,John Doe,14000
2020-05-01,Emily Stone,14000
2020-05-01,Jane Smith,14000
2020-05-01,John Doe,14000
2020-06-01,Emily Stone,14000
2020-06-01,Jane Smith,14000
2020-06-01,John Doe,14000
2020-07-01,Emily Stone,14000
2020-07-01,Jane Smith,14000
2020-07-01,John Doe,14000
2020-08-01,Emily Stone,14000
2020-08-01,Jane Smith,14000
2020-08-01,John Doe,14000
2020-09-01,Emily Stone,14000
2020-09-01,Jane Smith,14000
2020-09-01,John Doe,14000
2020-10-01,Emily Stone,14000
2020-10-01,Jane Smith,14000
2020-10-01,John Doe,14000
2020-11-01,Emily Stone,14000
2020-11-01,Jane Smith,14000
2020-11-01,John Doe,14000
2020-12-01,Emily Stone,14000
2020-12-01,Jane Smith,14000
2020-12-01,John Doe,14000
2021-01-01,Emily Stone,16000
2021-01-01,Jane Smith,16000
2021-01-01,John Doe,16000
2021-02-01,Emily Stone,16000
2021-02-01,Jane Smith,16000
2021-02-01,John Doe,16000
2021-03-01,Emily Stone,16000
2021-03-01,Jane Smith,16000
2021-03-01,John Doe,16000
2021-04-01,Emily Stone,16000
2021-04-01,Jane Smith,16000
2021-04-01,John Doe,16000
2021-05-01,Emily Stone,16000
2021-05-01,Jane Smith,16000
2021-05-01,John Doe,16000
2021-06-01,Emily Stone,16000
2021-06-01,Jane Smith,16000
2021-06-01,John Doe,16000
2021-07-01,Emily Stone,16000
2021-07-01,Jane Smith,16000
2021-07-01,John Doe,16000
2021-08-01,Emily Stone,16000
2021-08-01,Jane Smith,16000
2021-08-01,John Doe,16000
2021-09-01,Emily Stone,16000
2021-09-01,Jane Smith,16000
2021-09-01,John Doe,16000
2021-10-01,Emily Stone,16000
2021-10-01,Jane Smith,16000
2021-10-01,John Doe,16000
2021-11-01,Emily Stone,16000
2021-11-01,Jane Smith,16000
2021-11-01,John Doe,16000
2021-12-01,Emily Stone,16000
2021-12-01,Jane Smith,16000
2021-12-01,John Doe,16000
2022-01-01,Emily Stone,17000
2022-01-01,Jane Smith,17000
2022-01-01,John Doe,17000
2022-02-01,Emily Stone,17000
2022-02-01,Jane Smith,17000
2022-02-01,John Doe,17000
2022-03-01,Emily Stone,17000
2022-03-01,Jane Smith,17000
2022-03-01,John Doe,17000
2022-04-01,Emily Stone,17000
2022-04-01,Jane Smith,17000
2022-04-01,John Doe,17000
2022-05-01,Emily Stone,17000
2022-05-01,Jane Smith,17000
2022-05-01,John Doe,17000
2022-06-01,Emily Stone,17000
2022-06-01,Jane Smith,17000
2022-06-01,John Doe,17000
2022-07-01,Emily Stone,17000
2022-07-01,Jane Smith,17000
2022-07-01,John Doe,17000
2022-08-01,Emily Stone,17000
2022-08-01,Jane Smith,17000
2022-08-01,John Doe,17000
2022-09-01,Emily Stone,17000
2022-09-01,Jane Smith,17000
2022-09-01,John Doe,17000
2022-10-01,Emily Stone,17000
2022-10-01,Jane Smith,17000
2022-10-01,John Doe,17000
2022-11-01,Emily Stone,17000
2022-11-01,Jane Smith,17000
2022-11-01,John Doe,17000
2022-12-01,Emily Stone,17000
2022-12-01,Jane Smith,17000
2022-12-01,John Doe,17000
2023-01-01,Emily Stone,18000
2023-01-01,Jane Smith,18000
2023-01-01,John Doe,18000
2023-02-01,Emily Stone,18000
2023-02-01,Jane Smith,18000
2023-02-01,John Doe,18000
2023-03-01,Emily Stone,18000
2023-03-01,Jane Smith,18000
2023-03-01,John Doe,18000
2023-04-01,Emily Stone,18000
2023-04-01,Jane Smith,18000
2023-04-01,John Doe,18000
2023-05-01,Emily Stone,18000
2023-05-01,Jane Smith,18000
2023-05-01,John Doe,18000
2023-06-01,Emily Stone,18000
2023-06-01,Jane Smith,18000
2023-06-01,John Doe,18000
2023-07-01,Emily Stone,18000
2023-07-01,Jane Smith,18000
2023-07-01,John Doe,18000
2023-08-01,Emily Stone,18000
2023-08-01,Jane Smith,18000
2023-08-01,John Doe,18000
2023-09-01,Emily Stone,18000
2023-09-01,Jane Smith,18000
2023-09-01,John Doe,18000
2023-10-01,Emily Stone,18000
2023-10-01,Jane Smith,18000
2023-10-01,John Doe,18000
2023-11-01,Emily Stone,18000
2023-11-01,Jane Smith,18000
2023-11-01,John Doe,18000
2023-12-01,Emily Stone,18000
2023-12-01,Jane Smith,18000
2023-12-01,John Doe,18000
2024-01-01,Emily Stone,19000
2024-01-01,Jane Smith,19000
2024-01-01,John Doe,19000
2024-02-01,Emily Stone,19000
2024-02-01,Jane Smith,19000
2024-02-01,John Doe,19000
2024-03-01,Emily Stone,19000
2024-03-01,Jane Smith,19000
2024-03-01,John Doe,19000
2024-04-01,Emily Stone,19000
2024-04-01,Jane Smith,19000
2024-04-01,John Doe,19000
2024-05-01,Emily Stone,19000
2024-05-01,Jane Smith,19000
2024-05-01,John Doe,19000
2024-06-01,Emily Stone,19000
2024-06-01,Jane Smith,19000
2024-06-01,John Doe,19000
2024-07-01,Emily Stone,19000
2024-07-01,Jane Smith,19000
2024-07-01,John Doe,19000
2024-08-01,Emily Stone,19000
2024-08-01,Jane Smith,19000
2024-08-01,John Doe,19000
2024-09-01,Emily Stone,19000
2024-09-01,Jane Smith,19000
2024-09-01,John Doe,19000
2024-10-01,Emily Stone,19000
2024-10-01,Jane Smith,19000
2024-10-01,John Doe,19000
2024-11-01,Emily Stone,19000
2024-11-01,Jane Smith,19000
2024-11-01,John Doe,19000
2024-12-01,Emily Stone,19000
2024-12-01,Jane Smith,19000
2024-12-01,John Doe,19000
2025-01-01,Emily Stone,20000
2025-01-01,Jane Smith,20000
2025-01-01,John Doe,20000
2025-02-01,Emily Stone,20000
2025-02-01,Jane Smith,20000
2025-02-01,John Doe,20000
2025-03-01,Emily Stone,20000
2025-03-01,Jane Smith,20000
2025-03-01,John Doe,20000
2025-04-01,Emily Stone,20000
2025-04-01,Jane Smith,20000
2025-04-01,John Doe,20000
2025-05-01,Emily Stone,20000
2025-05-01,Jane Smith,20000
2025-05-01,John Doe,20000
2025-06-01,Emily Stone,20000
2025-06-01,Jane Smith,20000
2025-06-01,John Doe,20000
2025-07-01,Emily Stone,20000
2025-07-01,Jane Smith,20000
2025-07-01,John Doe,20000
2025-08-01,Emily Stone,20000
2025-08-01,Jane Smith,20000
2025-08-01,John Doe,20000
2025-09-01,Emily Stone,20000
2025-09-01,Jane Smith,20000
2025-09-01,John Doe,20000
2025-10-01,Emily Stone,20000
2025-10-01,Jane Smith,20000
2025-10-01,John Doe,20000
2025-11-01,Emily Stone,20000
2025-11-01,Jane Smith,20000
2025-11-01,John Doe,20000
2025-12-01,Emily Stone,20000
2025-12-01,Jane Smith,20000
2025-12-01,John Doe,20000
